#name	name2
NM_032291	SGIP1
NM_013943	CLIC4
NM_032785	AGBL4
NM_199454	PRDM16
NM_012405	ICMT
NM_001039361	PRAMEF10
NM_032409	PINK1
NR_046507	PINK1-AS
NM_001282562	EYA3
NM_001166007	EPB41
NM_005066	SFPQ
NM_001281956	CSMD2
NM_052896	CSMD2
NM_001194986	TRABD2B
NM_153035	TCEANC2
NM_002867	RAB3B
NM_001198689	LEPR
NM_001003680	LEPR
NM_173808	NEGR1
NM_020794	LRRC7
NM_005482	PIGK
NM_002061	GCLM
NM_006496	GNAI3
NM_001200001	NOTCH2
NM_006784	WDR3
NM_024408	NOTCH2
NM_001278267	NBPF20
NM_001037501	NBPF8
NR_104217	NBPF25P
NM_001037501	NBPF8
NM_001039703	NBPF10
NM_001037675	NBPF9
NM_152263	TPM3
NM_001278189	TPM3
NM_001043353	TPM3
NM_001204963	PBX1
NM_022093	TNN
NM_194314	ZBTB41
NM_133494	NEK7
NM_001243507	ESRRG
NM_206933	USH2A
NR_034037	LINC00582
NM_000254	MTR
NM_022743	SMYD3
NM_018012	KIF26B
NR_047523	LINC01128
NM_001198994	NADK
NM_017900	AURKAIP1
NM_001561	TNFRSF9
NM_004285	H6PD
NM_001282587	H6PD
NM_024980	GPR157
NM_001009566	CLSTN1
NM_020248	CTNNBIP1
NM_183416	KIF1B
NM_004958	MTOR
NM_001079843	CASZ1
NM_004565	PEX14
NM_001001998	EXOSC10
NM_014874	MFN2
NM_052929	FHAD1
NR_027136	TMEM51-AS1
NM_001018000	KAZN
NM_201628	KAZN
NM_015291	DNAJC16
NM_017940	NBPF1
NM_030812	ACTL8
NM_001136265	IFFO2
NM_001282162	CAPZB
NM_033631	LUZP1
NM_001142546	LUZP1
NM_002953	RPS6KA1
NM_001201404	WASF2
NM_006990	WASF2
NM_001048183	PHACTR4
NR_036473	SNHG3
NM_005626	SRSF4
NM_012316	KPNA6
NM_001040441	ZBTB8A
NM_145238	ZSCAN20
NM_005095	ZMYM4
NM_024874	KIAA0319L
NM_178548	TFAP2E
NM_000831	GRIK3
NM_001271851	RRAGC
NM_181809	BMP8A
NR_024567	NFYC-AS1
NM_001198850	FOXJ3
NM_173642	RIMKLA
NM_001195831	CFAP57
NM_152498	CFAP57
NR_002788	CYP4Z2P
NM_024646	ZYG11B
NM_147193	GLIS1
NM_147161	ACOT11
NM_015547	ACOT11
NR_037640	MROH7-TTC4
NR_037639	MROH7-TTC4
NR_037641	MROH7-TTC4
NM_001004303	C1orf168
NM_003713	PPAP2B
NM_181712	KANK4
NM_176877	INADL
NR_038252	LINC00466
NM_001256864	DNAJC6
NM_203464	AK4
NM_001005353	AK4
NM_207014	WDR78
NM_144701	IL23R
NM_001114120	DEPDC1
NM_017779	DEPDC1
NR_040077	GNG12-AS1
NM_017768	LRRC40
NR_028294	PTGER3
NM_001105659	LRRIQ3
NM_001002912	ERICH3
NM_012093	AK5
NM_198549	FAM73A
NR_027310	MGC27382
NM_024686	TTLL7
NM_152890	COL24A1
NM_012262	HS2ST1
NM_015350	LRRC8B
NM_052941	GBP4
NM_003567	BCAR3
NM_002858	ABCD3
NR_104131	LINC01057
NR_033966	FLJ31662
NM_000110	DPYD
NR_046088	LOC729987
NM_017619	RNPC3
NM_001284352	KIAA1324
NM_178454	DRAM2
NR_103746	LINC01356
NM_033020	TRIM33
NM_001010922	BCL2L15
NM_005725	TSPAN2
NR_104211	SYCP1
NM_001542	IGSF3
NM_001256111	CD101
NM_206996	SPAG17
NR_104189	SRGAP2-AS1
NR_024510	LINC00623
NM_203458	NOTCH2NL
NM_001198834	PDE4DIP
NM_014455	RNF115
NM_014644	PDE4DIP
NM_153713	LIX1L
NR_104217	NBPF25P
NM_001002812	PDE4DIP
NM_001278141	NBPF12
NR_104217	NBPF25P
NR_038423	LINC00624
NM_001101663	NBPF11
NM_183372	NBPF11
NM_001135789	PPIAL4C
NM_025150	TARS2
NM_015203	RPRD2
NM_001199739	CTSS
NM_020127	TUFT1
NM_030918	SNX27
NM_001126337	TUFT1
NM_015100	POGZ
NM_207171	POGZ
NR_103778	FLG-AS1
NM_015607	CHTOP
NM_001204087	KCNN3
NM_000565	IL6R
NM_170782	KCNN3
NM_152280	SYT11
NM_178229	IQGAP3
NM_002241	KCNJ10
NM_001135050	IGSF9
NM_007348	ATF6
NM_177398	LMX1A
NM_001198786	POU2F1
NM_001198957	DCAF6
NM_015415	MPC2
NM_001017977	DCAF6
NM_003666	BLZF1
NM_001677	ATP1B1
NM_197972	NME7
NM_001204514	KIFAP3
NM_001136107	METTL11B
NM_001460	FMO2
NR_037845	LOC100506023
NM_004319	ASTN1
NM_007314	ABL2
NM_001168238	ABL2
NM_001199260	TOR1AIP2
NM_145034	TOR1AIP2
NM_022347	TOR1AIP2
NM_004736	XPR1
NM_000721	CACNA1E
NM_025191	EDEM3
NM_052966	FAM129A
NM_000069	CACNA1S
NM_203459	CAMSAP2
NM_018085	IPO9
NM_177402	SYT2
NM_006618	KDM5B
NM_015375	DSTYK
NM_175710	CR1L
NM_000573	CR1
NM_025179	PLXNA2
NM_000651	CR1
NM_006147	IRF6
NM_001256006	SYT14
NM_001206696	IRF6
NM_005401	PTPN14
NM_016121	KCTD3
NM_001017424	KCNK2
NM_022746	MARC1
NM_007207	DUSP10
NM_032890	DISP1
NM_198551	MIA3
NM_018212	ENAH
NM_003133	SRP9
NM_001008493	ENAH
NM_014826	CDC42BPA
NM_003607	CDC42BPA
NM_020247	ADCK3
NM_002221	ITPKB
NM_052843	OBSCN
NR_102302	ZNF678
NM_178549	ZNF678
NR_033184	ZNF678
NM_001271223	OBSCN
NR_037962	RHOU
NM_004481	GALNT2
NM_007357	COG2
NM_001004342	TRIM67
NM_001164547	DISC1
NM_001164540	DISC1
NM_173508	SLC35F3
NM_004485	GNG4
NM_001098722	GNG4
NM_152490	B3GALNT2
NM_018072	HEATR1
NM_006499	LGALS8
NM_201544	LGALS8
NM_201543	LGALS8
NM_001035	RYR2
NM_000740	CHRM3
NM_001126	ADSS
NM_001130957	C1orf101
NM_001242340	C1orf101
NM_015446	AHCTF1
NM_033213	ZNF670
NM_001281837	GCSAML
NM_001005484	OR4F5
NR_039983	LOC729737
NR_028327	LOC100133331
NR_028325	LOC100132062
NM_001005224	OR4F3
NR_106781	MIR6723
NM_001005224	OR4F3
NR_028327	LOC100133331
NR_033908	LOC100288069
NR_103536	FAM87B
NR_047526	LINC01128
NR_027055	FAM41C
NM_003327	TNFRSF4
NM_001130045	TTLL10
NM_004421	DVL1
NM_017871	CPSF3L
NM_001130413	SCNN1D
NM_030649	ACAP3
NM_001256463	CPSF3L
NM_001282585	MXRA8
NM_001282583	MXRA8
NM_001029885	CPTP
NM_022834	VWA1
NM_001039211	ATAD3C
NM_001146685	TMEM88B
NM_017971	MRPL20
NM_031921	ATAD3B
NM_199121	VWA1
NM_001243536	ANKRD65
NM_001243535	ANKRD65
NR_015434	LOC148413
NM_001170535	ATAD3A
NM_014188	SSU72
NM_182838	SLC35E2
NM_024011	CDK11A
NM_001110781	SLC35E2B
NM_178545	TMEM52
NM_138705	CALML6
NM_000815	GABRD
NM_001080484	CFAP74
NR_024489	LOC100129534
NM_014638	PLCH2
NM_001126242	TP73
NR_033711	TP73-AS1
NM_001204192	TP73
NR_033710	TP73-AS1
NR_033709	TP73-AS1
NM_020710	LRRC47
NM_014704	CEP104
NR_040065	LINC01346
NR_027088	LOC284661
NM_000983	RPL22
NM_015557	CHD5
NM_207396	RNF207
NM_024654	NOL9
NM_153812	PHF13
NM_207420	SLC2A7
NR_104622	LOC100506022
NR_027045	PIK3CD-AS1
NM_005026	PIK3CD
NM_022787	NMNAT1
NM_021146	ANGPTL7
NR_046600	MTOR-AS1
NM_020780	PTCHD2
NM_018438	FBXO6
NR_104624	LOC101929181
NR_037806	NPPA-AS1
NM_001286	CLCN6
NM_005957	MTHFR
NM_001066	TNFRSF1B
NM_001080830	PRAMEF12
NM_001009611	PRAMEF4
NM_001099790	PRAMEF19
NM_001039361	PRAMEF10
NM_001099790	PRAMEF19
NM_012231	PRDM2
NM_015866	PRDM2
NM_207348	SLC25A34
NM_001024216	FBLIM1
NM_017556	FBLIM1
NR_023386	CROCCP3
NR_026752	CROCCP2
NM_001271733	MST1L
NM_014675	CROCC
NM_152375	KLHDC7A
NM_152232	TAS1R2
NM_001161504	ALDH4A1
NM_003689	AKR7A2
NM_016183	MRTO4
NM_001271428	EMC1
NM_001271429	EMC1
NM_001032363	MINOS1
NM_019062	RNF186
NM_152376	UBXN10
NM_001122819	KIF17
NM_001287212	KIF17
NR_038404	LOC100506801
NR_023918	LINC00339
NM_001006943	EPHA8
NM_000864	HTR1D
NM_030634	ZNF436
NM_001077195	ZNF436
NR_027042	MDS2
NM_007260	LYPLA2
NM_017761	PNRC2
NM_152372	MYOM3
NM_016124	RHD
NM_001127691	RHD
NM_014313	TMEM50A
NM_001282869	RHD
NM_001282868	RHD
NM_001282867	RHD
NM_000437	PAFAH2
NM_001281518	CEP85
NM_024869	FAM110D
NM_001803	CD52
NM_001039775	AIM1L
