#name	name2
NM_013943	CLIC4
NM_052998	AZIN2
NM_001080397	SLC45A1
NM_001918	DBT
NR_036634	TGFBR3
NM_030806	C1orf21
NM_001001740	RFWD2
NM_021222	PRUNE
NM_001270410	LIN9
NM_199454	PRDM16
NM_017891	C1orf159
NM_015215	CAMTA1
NM_002744	PRKCZ
NM_001033582	PRKCZ
NM_022114	PRDM16
NM_012405	ICMT
NM_001242874	PRKCZ
NM_001039361	PRAMEF10
NR_046507	PINK1-AS
NM_001282562	EYA3
NM_004437	EPB41
NM_001166007	EPB41
NM_001990	EYA3
NM_006600	NUDC
NM_014676	PUM1
NM_203343	EPB41
NR_073498	KHDRBS1
NR_073499	KHDRBS1
NM_001145454	STMN1
NM_005119	THRAP3
NM_005066	SFPQ
NM_001281956	CSMD2
NM_052896	CSMD2
NM_012090	MACF1
NM_002840	PTPRF
NM_130440	PTPRF
NM_001194986	TRABD2B
NM_018150	RNF220
NM_021639	GPBP1L1
NM_153035	TCEANC2
NM_021080	DAB1
NM_002867	RAB3B
NM_015306	USP24
NM_007051	FAF1
NM_018291	FGGY
NM_005595	NFIA
NM_001134673	NFIA
NR_103473	FGGY
NM_001145512	NFIA
NM_003368	USP1
NM_001113411	FGGY
NM_001198689	LEPR
NM_001198687	LEPR
NM_001003679	LEPR
NM_173808	NEGR1
NM_005482	PIGK
NM_152996	ST6GALNAC3
NM_001134445	DDAH1
NM_032270	LRRC8C
NM_002061	GCLM
NM_014917	NTNG1
NM_001204269	KCNA2
NM_006608	PHTF1
NM_006496	GNAI3
NM_001200001	NOTCH2
NM_024408	NOTCH2
NM_001278267	NBPF20
NM_020205	OTUD7B
NM_001037501	NBPF8
NM_001037501	NBPF8
NM_001277444	NBPF9
NR_102405	NBPF8
NR_102405	NBPF8
NR_102404	NBPF8
NR_102404	NBPF8
NM_001039703	NBPF10
NM_001037675	NBPF9
NM_152263	TPM3
NM_001278188	TPM3
NM_001278189	TPM3
NM_001043353	TPM3
NM_001043352	TPM3
NM_001043351	TPM3
NR_103461	TPM3
NM_015327	SMG5
NM_001204963	PBX1
NR_036683	LOC440700
NM_001204961	PBX1
NM_001136219	FCGR2A
NM_001278252	DNM3
NM_015569	DNM3
NM_001163629	MROH9
NM_001136127	DNM3
NM_022093	TNN
NM_021165	BRINP2
NM_001252511	SOAT1
NM_032360	ACBD6
NM_001137669	RGSL1
NM_003101	SOAT1
NM_001174061	SMG7
NM_170692	RASAL2
NM_201569	SMG7
NR_045530	SOAT1
NM_000963	PTGS2
NM_194314	ZBTB41
NM_133494	NEK7
NM_001271872	SRGAP2C
NM_015326	SRGAP2
NM_001167857	PPP1R12B
NM_002481	PPP1R12B
NM_001170587	HHAT
NM_018664	BATF3
NM_001170564	HHAT
NM_001243509	ESRRG
NM_001170580	HHAT
NM_018194	HHAT
NM_206933	USH2A
NM_004446	EPRS
NM_001373	DNAH14
NM_018230	NUP133
NM_145214	TRIM11
NR_028398	TSNAX-DISC1
NM_000254	MTR
NR_027247	LOC100130331
NM_032752	ZNF496
NM_022743	SMYD3
NM_018012	KIF26B
NR_047525	LINC01128
NR_047524	LINC01128
NR_047523	LINC01128
NR_047521	LINC01128
NR_047519	LINC01128
NM_023018	NADK
NM_001014980	FAM132A
NM_001198994	NADK
NM_001198993	NADK
NM_017900	AURKAIP1
NM_003036	SKI
NM_001242672	TTC34
NM_003820	TNFRSF14
NM_004402	DFFB
NM_001282669	DFFB
NM_152492	CCDC27
NM_001409	MEGF6
NR_104222	DFFB
NM_001042478	AJAP1
NM_172130	KCNAB2
NM_001199862	KCNAB2
NM_001199860	KCNAB2
NM_001199861	KCNAB2
NM_015102	NPHP4
NM_001042663	PLEKHG5
NM_198681	PLEKHG5
NM_001561	TNFRSF9
NM_001289864	PER3
