#name	name2
NM_032291	SGIP1
NM_001301823	AZIN2
NM_013943	CLIC4
NM_032785	AGBL4
NM_052998	AZIN2
NM_001145277	NECAP2
NR_126031	AZIN2
NM_001145278	NECAP2
NM_018090	NECAP2
NM_001080397	SLC45A1
NM_001293562	AZIN2
NM_001301825	AZIN2
NM_001301824	AZIN2
NM_001301826	AZIN2
NM_001918	DBT
NM_001195683	TGFBR3
NR_036634	TGFBR3
NM_003243	TGFBR3
NM_001195684	TGFBR3
NM_022457	RFWD2
NM_030806	C1orf21
NM_001286644	RFWD2
NM_001001740	RFWD2
NM_001303229	PRUNE
NM_001303242	PRUNE
NM_001303243	PRUNE
NM_021222	PRUNE
NR_130130	PRUNE
NR_130131	PRUNE
NR_130132	PRUNE
NR_130135	PRUNE
NM_173083	LIN9
NM_001270409	LIN9
NM_001270410	LIN9
NM_199454	PRDM16
NM_017891	C1orf159
NM_015215	CAMTA1
NM_002744	PRKCZ
NM_001033582	PRKCZ
NM_022114	PRDM16
NM_012405	ICMT
NM_001033581	PRKCZ
NM_001242874	PRKCZ
NM_001099850	LOC391003
NM_001039361	PRAMEF10
NM_001291381	LOC645382
NM_017449	EPHB2
NM_032409	PINK1
NM_004442	EPHB2
NM_032236	USP48
NR_046507	PINK1-AS
NM_006559	KHDRBS1
NM_001271878	KHDRBS1
NM_001282562	EYA3
NM_001282561	EYA3
NM_001282560	EYA3
NM_004437	EPB41
NM_203342	EPB41
NM_001166006	EPB41
NM_001166005	EPB41
NM_001166007	EPB41
NM_001990	EYA3
NM_006600	NUDC
NM_014676	PUM1
NM_203343	EPB41
NR_073498	KHDRBS1
NR_073499	KHDRBS1
NM_001020658	PUM1
NM_001145454	STMN1
NM_005119	THRAP3
NM_005066	SFPQ
NM_001281956	CSMD2
NM_052896	CSMD2
NM_012090	MACF1
NM_002840	PTPRF
NM_130440	PTPRF
NM_001194986	TRABD2B
NM_018150	RNF220
NM_021639	GPBP1L1
NM_153035	TCEANC2
NM_001193617	SCP2
NM_021080	DAB1
NM_002867	RAB3B
NM_015306	USP24
NM_002979	SCP2
NM_001193599	SCP2
NM_001193600	SCP2
NM_007051	FAF1
NM_018291	FGGY
NM_005595	NFIA
NM_001134673	NFIA
NM_001017415	USP1
NR_103473	FGGY
NM_001145512	NFIA
NM_001293274	CACHD1
NM_002303	LEPR
NM_001145511	NFIA
NM_001206739	ITGB3BP
NM_014288	ITGB3BP
NM_003368	USP1
NM_020925	CACHD1
NM_001113411	FGGY
NM_001198689	LEPR
NR_045147	ITGB3BP
NM_001198688	LEPR
NM_001017416	USP1
NM_001198687	LEPR
NM_001003679	LEPR
NM_001003680	LEPR
NM_173808	NEGR1
NM_020794	LRRC7
NM_001160011	ST6GALNAC3
NM_005482	PIGK
NM_152996	ST6GALNAC3
NM_001134445	DDAH1
NM_012128	CLCA4
NM_032270	LRRC8C
NR_024602	CLCA4
NR_110682	PKN2-AS1
NM_002061	GCLM
NM_001006605	FAM69A
NR_033998	LOC729970
NM_001252269	FAM69A
NM_001252270	FAM69A
NM_001252271	FAM69A
NM_001252273	FAM69A
NR_125991	LOC102723661
NM_014917	NTNG1
NM_001113228	NTNG1
NM_001113226	NTNG1
NM_001204269	KCNA2
NM_006608	PHTF1
NM_001291896	RAP1A
NM_006496	GNAI3
NM_002884	RAP1A
NM_001010935	RAP1A
NM_001042679	RHOC
NM_175744	RHOC
NM_001042678	RHOC
NM_001200001	NOTCH2
NM_006784	WDR3
NM_024408	NOTCH2
NM_001201325	PDZK1
NM_001201326	PDZK1
NM_002614	PDZK1
NM_001278267	NBPF20
NM_020205	OTUD7B
NM_001037501	NBPF8
NR_104217	NBPF25P
NM_001037501	NBPF8
NM_001277444	NBPF9
NM_001302371	NBPF10
NR_102405	NBPF8
NR_102405	NBPF8
NR_102404	NBPF8
NR_102404	NBPF8
NM_001039703	NBPF10
NM_001037675	NBPF9
NM_152263	TPM3
NM_001278188	TPM3
NM_001278189	TPM3
NM_153649	TPM3
NM_001278191	TPM3
NM_001278190	TPM3
NR_002188	GBAP1
NM_001043353	TPM3
NM_001043352	TPM3
NM_001043351	TPM3
NR_103461	TPM3
NM_015327	SMG5
NM_001204963	PBX1
NM_002585	PBX1
NM_021642	FCGR2A
NR_036683	LOC440700
NM_001204961	PBX1
NM_001136219	FCGR2A
NM_025063	MROH9
NM_001278252	DNM3
NM_015569	DNM3
NM_001163629	MROH9
NM_001136127	DNM3
NM_005092	TNFSF18
NM_022093	TNN
NM_021165	BRINP2
NM_001252511	SOAT1
NM_001252512	SOAT1
NM_032360	ACBD6
NM_201568	SMG7
NM_001137669	RGSL1
NM_003101	SOAT1
NM_173156	SMG7
NM_001174061	SMG7
NM_170692	RASAL2
NM_201569	SMG7
NR_045530	SOAT1
NM_000963	PTGS2
NM_194314	ZBTB41
NM_133494	NEK7
NM_001271872	SRGAP2C
NM_015326	SRGAP2
NM_001167858	PPP1R12B
NM_001167857	PPP1R12B
NR_120535	SRGAP2D
NM_002481	PPP1R12B
NM_001271870	SRGAP2B
NM_001300952	SRGAP2
NM_001170637	SRGAP2
NM_001170587	HHAT
NM_001170588	HHAT
NM_001122834	HHAT
NM_001243510	ESRRG
NM_018664	BATF3
NM_001170564	HHAT
NM_001243511	ESRRG
NM_001243509	ESRRG
NM_001170580	HHAT
NM_001134285	ESRRG
NM_001243505	ESRRG
NM_001243507	ESRRG
NM_001243506	ESRRG
NM_018194	HHAT
NM_206933	USH2A
NM_001243513	ESRRG
NM_001243512	ESRRG
NM_206595	ESRRG
NM_206594	ESRRG
NM_004446	EPRS
NR_031644	MIR548F3
NR_002753	RNU5F-1
NM_001373	DNAH14
NR_028395	TSNAX-DISC1
NR_028394	TSNAX-DISC1
NR_028399	TSNAX-DISC1
NM_018230	NUP133
NR_034037	LINC00582
NM_145214	TRIM11
NR_028398	TSNAX-DISC1
NR_028397	TSNAX-DISC1
NR_028396	TSNAX-DISC1
NR_028393	TSNAX-DISC1
NR_028400	TSNAX-DISC1
NM_001282773	RGS7
NM_001282775	RGS7
NM_001282778	RGS7
NM_000254	MTR
NM_002924	RGS7
NM_000081	LYST
NM_001291939	MTR
NR_027247	LOC100130331
NM_001291940	MTR
NM_001301365	LYST
NM_032752	ZNF496
NM_001167740	SMYD3
NM_022743	SMYD3
NM_018012	KIF26B
NM_001001918	OR14C36
NR_047525	LINC01128
NR_047524	LINC01128
NR_047523	LINC01128
NR_047521	LINC01128
NR_047519	LINC01128
NM_023018	NADK
NM_001787	CDK11B
NM_001014980	FAM132A
NM_033489	CDK11B
NM_033486	CDK11B
NM_033490	CDK11B
NM_001198994	NADK
NM_001198993	NADK
NM_017900	AURKAIP1
NM_001291345	CDK11B
NM_033487	CDK11B
NM_001297605	TNFRSF14
NM_003036	SKI
NM_001242672	TTC34
NM_003820	TNFRSF14
NM_004402	DFFB
NM_001282669	DFFB
NM_152492	CCDC27
NM_001409	MEGF6
NR_104222	DFFB
NM_018836	AJAP1
NM_001042478	AJAP1
NR_111987	NPHP4
NM_172130	KCNAB2
NM_001199862	KCNAB2
NM_001199863	KCNAB2
NM_003636	KCNAB2
NM_001199860	KCNAB2
NM_001291593	NPHP4
NM_001199861	KCNAB2
NM_001291594	NPHP4
NM_015102	NPHP4
NM_001265592	PLEKHG5
NM_001242701	CAMTA1
NM_007274	ACOT7
NM_181864	ACOT7
NR_038934	CAMTA1
NM_001042663	PLEKHG5
NM_198681	PLEKHG5
NM_001561	TNFRSF9
NM_001289864	PER3
NM_001289862	PER3
NM_001289863	PER3
NM_001289861	PER3
NM_016831	PER3
NM_001042681	RERE
NM_012102	RERE
NM_004285	H6PD
NM_001282587	H6PD
NM_024980	GPR157
NM_001009566	CLSTN1
NM_014944	CLSTN1
NM_001302883	CLSTN1
NM_001105562	UBE4B
NM_020248	CTNNBIP1
NM_183416	KIF1B
NM_015074	KIF1B
NM_006048	UBE4B
NM_001012329	CTNNBIP1
NM_004958	MTOR
NM_001079843	CASZ1
NM_001170754	C1orf127
NM_004565	PEX14
NM_017766	CASZ1
NM_001001998	EXOSC10
NM_002685	EXOSC10
NM_001040195	AGTRAP
NM_018156	VPS13D
NM_001040194	AGTRAP
NM_001040197	AGTRAP
NM_020350	AGTRAP
NM_015378	VPS13D
NM_001040196	AGTRAP
NM_014874	MFN2
NM_001127660	MFN2
NM_001243	TNFRSF8
NM_001281430	TNFRSF8
NM_001013630	AADACL4
NM_052929	FHAD1
NR_027136	TMEM51-AS1
NM_015209	KAZN
NM_001018001	KAZN
NM_001018000	KAZN
NM_201628	KAZN
NM_001017999	KAZN
NM_015291	DNAJC16
NM_001287811	DNAJC16
NM_018994	FBXO42
NM_015001	SPEN
NR_109898	DNAJC16
NM_002403	MFAP2
NM_001135247	MFAP2
NM_017459	MFAP2
NM_017940	NBPF1
NM_007365	PADI2
NM_001135248	MFAP2
NR_026567	ESPNP
NM_013358	PADI1
NM_018125	ARHGEF10L
NM_030812	ACTL8
NM_032880	IGSF21
NM_001011722	ARHGEF10L
NM_002584	PAX7
NM_001136265	IFFO2
NM_013945	PAX7
NM_020765	UBR4
NM_001135254	PAX7
NM_001282162	CAPZB
NM_004930	CAPZB
NM_001206541	CAPZB
NM_001206540	CAPZB
NR_033887	LINC01141
NM_181719	TMCO4
NM_001198803	EIF4G3
NM_001198801	EIF4G3
NM_001177520	ALPL
NM_001127501	ALPL
NM_000478	ALPL
NM_003760	EIF4G3
NM_001198802	EIF4G3
NM_016287	HP1BP3
NM_001113348	ECE1
NM_001791	CDC42
NM_014870	ZBTB40
NM_001083621	ZBTB40
NM_005529	HSPG2
NM_001291860	HSPG2
NM_044472	CDC42
NM_001039802	CDC42
NM_001013693	LDLRAD2
NM_033631	LUZP1
NM_001142546	LUZP1
NM_004091	E2F2
NM_003196	TCEA3
NM_173064	IFNLR1
NM_020448	NIPAL3
NM_170743	IFNLR1
NM_173065	IFNLR1
NM_001010980	NCMAP
NM_020485	RHCE
NM_020379	MAN1C1
NM_138618	RHCE
NM_138617	RHCE
NM_138616	RHCE
NM_001289010	MAN1C1
NM_018202	TMEM57
NM_001282564	TMEM57
NM_002953	RPS6KA1
NM_031286	SH3BGRL3
NM_024674	LIN28A
NM_001201404	WASF2
NR_037576	TMEM222
NM_001029882	AHDC1
NM_032125	TMEM222
NM_006990	WASF2
NR_037580	TMEM222
NR_037577	TMEM222
NM_001048183	PHACTR4
NM_001135218	TAF12
NM_005644	TAF12
NR_036473	SNHG3
NR_030726	RCC1
NR_002909	SNHG3
NR_030725	RCC1
NM_001048199	RCC1
NM_005704	PTPRU
NM_001195001	PTPRU
NM_005626	SRSF4
NM_133178	PTPRU
NM_133177	PTPRU
NM_002379	MATN1
NR_034182	MATN1-AS1
NM_001195100	PTP4A2
NM_001195101	PTP4A2
NM_080391	PTP4A2
NM_001256121	S100PBP
NM_022753	S100PBP
NM_030786	SYNC
NM_001291496	ZBTB8A
NM_001161708	SYNC
NR_111980	ZBTB8A
NM_012316	KPNA6
NM_001040441	ZBTB8A
NM_004964	HDAC1
NM_001127361	RNF19B
NM_153341	RNF19B
NM_001300826	RNF19B
NM_198040	PHC2
NM_145238	ZSCAN20
NR_038372	CSMD2-AS1
NR_125978	LOC101929464
NM_001080418	DLGAP3
NM_005095	ZMYM4
NM_177422	AGO3
NM_024852	AGO3
NM_005202	COL8A2
NM_024874	KIAA0319L
NM_017629	AGO4
NM_178548	TFAP2E
NM_001294347	COL8A2
NM_032017	STK40
NM_000831	GRIK3
NM_001282547	STK40
NM_001282546	STK40
NM_024640	YRDC
NM_024700	SNIP1
NM_005540	INPP5B
NM_022157	RRAGC
NM_001271851	RRAGC
NM_012421	RLF
NM_001720	BMP8B
NM_181809	BMP8A
NM_001172222	SCMH1
NM_012236	SCMH1
NM_172163	KCNQ4
NM_001172218	SCMH1
NM_001172220	SCMH1
NM_004700	KCNQ4
NM_001172219	SCMH1
NM_001172221	SCMH1
NR_024567	NFYC-AS1
NM_001031694	SCMH1
NM_001198852	FOXJ3
NM_001198851	FOXJ3
NM_001198850	FOXJ3
NM_024503	HIVEP3
NM_001127714	HIVEP3
NM_014947	FOXJ3
NM_173642	RIMKLA
NR_038261	HIVEP3
NR_038260	HIVEP3
NM_001242750	LOC100129924
NM_005424	TIE1
NM_001195831	CFAP57
NM_152498	CFAP57
NM_001167965	CFAP57
NM_001253357	TIE1
NM_015284	SZT2
NM_001270463	ST3GAL3
NM_001270464	ST3GAL3
NR_073021	ST3GAL3
NR_073020	ST3GAL3
NR_073019	ST3GAL3
NR_073018	ST3GAL3
NM_001270459	ST3GAL3
NM_174970	ST3GAL3
NM_001301698	ERI3
NM_001270460	ST3GAL3
NM_001270461	ST3GAL3
NM_001270462	ST3GAL3
NM_014652	IPO13
NM_174971	ST3GAL3
NM_001301699	ERI3
NM_006279	ST3GAL3
NM_001270465	ST3GAL3
NM_174966	ST3GAL3
NM_174965	ST3GAL3
NM_174964	ST3GAL3
NR_033827	KDM4A-AS1
NM_174969	ST3GAL3
NM_001270466	ST3GAL3
NM_174968	ST3GAL3
NM_174967	ST3GAL3
NR_073023	ST3GAL3
NR_073017	ST3GAL3
NM_174963	ST3GAL3
NR_073016	ST3GAL3
NR_110056	ERI3-IT1
NM_001301701	ERI3
NM_001301700	ERI3
NM_024066	ERI3
NM_001166588	EIF2B3
NM_001261418	EIF2B3
NM_007170	TESK2
NM_020365	EIF2B3
NM_001297656	KIF2C
NM_020883	ZSWIM5
NM_006845	KIF2C
NM_001297655	KIF2C
NM_001297657	KIF2C
NM_001303427	PIK3R3
NM_017739	POMGNT1
NM_001303429	PIK3R3
NM_003629	PIK3R3
NM_015112	MAST2
NR_024176	MKNK1
NM_001243766	POMGNT1
NM_001114172	PIK3R3
NM_001290130	POMGNT1
NM_001135553	MKNK1
NM_003684	MKNK1
NR_024174	MKNK1
NM_198973	MKNK1
NM_001303428	PIK3R3
NM_001290129	POMGNT1
NM_016308	CMPK1
NR_002788	CYP4Z2P
NR_046394	CMPK1
NM_178134	CYP4Z1
NM_001136140	CMPK1
NM_001286238	SPATA6
NM_001286239	SPATA6
NR_026749	SKINTL
NM_019073	SPATA6
NM_001144777	ELAVL4
NM_001144775	ELAVL4
NM_001144774	ELAVL4
NM_001144776	ELAVL4
NM_021952	ELAVL4
NM_001294348	ELAVL4
NM_001297665	TTC39A
NM_148909	OSBPL9
NM_001080494	TTC39A
NM_024586	OSBPL9
NM_001101662	NRD1
NM_001981	EPS15
NM_002525	NRD1
NM_148908	OSBPL9
NM_148906	OSBPL9
NM_001144832	TTC39A
NM_001297664	TTC39A
NM_001242361	NRD1
NR_036662	OSBPL9
NM_001297662	TTC39A
NM_001297663	TTC39A
NM_024646	ZYG11B
