#name	name2
NM_013943	CLIC4
NM_001918	DBT
NM_001195684	TGFBR3
NM_001270409	LIN9
NM_199454	PRDM16
NM_017891	C1orf159
NM_002744	PRKCZ
NM_022114	PRDM16
NM_012405	ICMT
NM_032409	PINK1
NR_046507	PINK1-AS
NM_001282562	EYA3
NM_001166006	EPB41
NM_001990	EYA3
NR_073498	KHDRBS1
NM_001145454	STMN1
NM_005066	SFPQ
NM_001281956	CSMD2
NM_012090	MACF1
NM_002840	PTPRF
NM_001194986	TRABD2B
NM_002867	RAB3B
NM_015306	USP24
NM_007051	FAF1
NM_001134673	NFIA
NM_001198688	LEPR
NM_001198687	LEPR
NM_001003679	LEPR
NM_001003680	LEPR
NM_002061	GCLM
NM_006496	GNAI3
NM_001010935	RAP1A
NM_001042679	RHOC
NM_175744	RHOC
NM_001200001	NOTCH2
NM_006784	WDR3
NM_024408	NOTCH2
NM_001278267	NBPF20
NM_020205	OTUD7B
NR_102405	NBPF8
NR_102405	NBPF8
NR_102404	NBPF8
NR_102404	NBPF8
NM_001039703	NBPF10
NM_152263	TPM3
NM_001204961	PBX1
NM_022093	TNN
NM_021165	BRINP2
NM_001174061	SMG7
NM_194314	ZBTB41
NM_133494	NEK7
NM_001271872	SRGAP2C
NM_002481	PPP1R12B
NM_018664	BATF3
NM_001373	DNAH14
NR_028394	TSNAX-DISC1
NM_145214	TRIM11
NM_001282773	RGS7
NM_000254	MTR
NM_000081	LYST
NM_032752	ZNF496
NM_022743	SMYD3
NM_018012	KIF26B
NR_047525	LINC01128
NR_047521	LINC01128
NM_001014980	FAM132A
NM_001198994	NADK
NM_003036	SKI
NM_003820	TNFRSF14
NM_152492	CCDC27
NM_001042478	AJAP1
NM_001265592	PLEKHG5
NM_001561	TNFRSF9
NM_004285	H6PD
NM_024980	GPR157
NM_001009566	CLSTN1
NM_014944	CLSTN1
NM_015074	KIF1B
NM_006048	UBE4B
NM_001079843	CASZ1
NM_017766	CASZ1
NM_014874	MFN2
NM_052929	FHAD1
NR_027136	TMEM51-AS1
NM_015209	KAZN
NM_001018000	KAZN
NM_001017999	KAZN
NM_015291	DNAJC16
NM_015001	SPEN
NM_017940	NBPF1
NR_026567	ESPNP
NM_013358	PADI1
NM_032880	IGSF21
NM_001136265	IFFO2
NM_020765	UBR4
